Name, Joint 1, Joint 2, Joint 3, Joint 4, Joint 5 , Joint 6, Joint 7, Unit
":math:`q_{max}`", 2.8973, 1.7628, 2.8973, 0.0175, 2.8973, 3.7525, 2.8973, :math:`\text{rad}`
":math:`q_{min}`", -2.8973, -1.7628, -2.8973, -3.0718, -2.8973, -0.0175, -2.8973, :math:`\text{rad}`
":math:`\dot{q}_{max}`", 2.1750, 2.1750, 2.1750, 2.1750, 2.6100, 2.6100, 2.6100, :math:`\frac{\text{rad}}{\text{s}}`
:math:`\ddot{q}_{max}`, 15, 7.5, 10, 12.5, 15, 20, 20, :math:`\frac{\text{rad}}{\text{s}^2}`
:math:`\dddot{q}_{max}`, 7500, 3750, 5000, 6250, 7500, 10000, 10000, :math:`\frac{\text{rad}}{\text{s}^3}`
":math:`{\tau_j}_{max}`", 87, 87, 87, 87, 12, 12, 12, :math:`\text{Nm}`
":math:`\dot{\tau_j}_{max}`", 1000, 1000, 1000, 1000, 1000, 1000, 1000, :math:`\frac{\text{Nm}}{\text{s}}`
