Name, Joint 1, Joint 2, Joint 3, Joint 4, Joint 5 , Joint 6, Joint 7, Unit
":math:`q_{max}`", 2.3093, 1.5133, 2.4937, -0.4461, 2.4800, 4.2094, 2.6895, :math:`\text{rad}`
":math:`q_{min}`", -2.3093, -1.5133, -2.4937, -2.7478, -2.4800, 0.8521, -2.6895, :math:`\text{rad}`
":math:`\dot{q}_{max}`", 2, 1, 1.5, 1.25, 3, 1.5, 3, :math:`\frac{\text{rad}}{\text{s}}`
